Date/Time,Word Count,en,ko
2026.06.24-01.05.08,452,452,0
2026.06.24-01.13.44,452,452,19
2026.07.15-09.16.00,2024,2024,13
2026.07.15-11.43.05,2024,2024,185
2026.07.15-16.50.19,2096,2096,184
2026.07.15-17.59.57,2096,2096,232
2026.07.16-20.02.44,2144,2144,228
2026.07.17-15.57.04,2435,2435,227
2026.07.17-20.07.37,2478,2478,227
2026.07.20-21.54.12,2557,2557,228
2026.07.21-17.27.59,2584,2584,225
2026.07.21-17.29.54,2592,2592,225
2026.07.21-17.49.16,2595,2595,225
